영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,배급사,rating_mean,grade,genre,running_time,배급사 순위,grade_15세 이상 관람가,grade_전체 관람가,grade_청소년 관람불가,genre_드라마/로맨스/코미디,genre_스릴러/공포/미스터리,genre_애니메이션,genre_액션/어드벤처/SF,nation_미국,nation_미국 외 서구 국가,nation_한국,nation_한국 외 아시아
부산행,2016-07-20,93178283048,11565479,1788,151315,한국,(주)넥스트엔터테인먼트월드(NEW),2.922297297,15세 이상 관람가,액션/어드벤처/SF,118분,6,1,0,0,0,0,0,1,0,0,1,0
검사외전,2016-02-03,77320403264,9707581,1812,153532,한국,(주)쇼박스,4.071428571,15세 이상 관람가,스릴러/공포/미스터리,126분,2,1,0,0,0,1,0,0,0,0,1,0
캡틴 아메리카: 시빌 워,2016-04-27,72672111827,8677249,1991,161696,미국,월트디즈니컴퍼니코리아 유한책임회사,5.835497835,12세 이상 관람가,액션/어드벤처/SF,147분,3,0,0,0,0,0,0,1,1,0,0,0
밀정,2016-09-07,61269783831,7500420,1444,138161,한국,워너브러더스 코리아(주),9.020289855,15세 이상 관람가,액션/어드벤처/SF,140분,4,1,0,0,0,0,0,1,0,0,1,0
터널,2016-08-10,57529484417,7120508,1105,113201,한국,(주)쇼박스,6.519021739,12세 이상 관람가,드라마/로맨스/코미디,126분,2,0,0,0,1,0,0,0,0,0,1,0
인천상륙작전,2016-07-27,55101410303,7049643,1049,97019,한국,(주)씨제이이엔엠,9.31379668,12세 이상 관람가,다큐멘터리/공연실황/기타,110분,1,0,0,0,0,0,0,0,0,0,1,0
럭키,2016-10-13,56444461256,6975290,1234,155977,한국,(주)쇼박스,7.87967581,15세 이상 관람가,드라마/로맨스/코미디,112분,2,1,0,0,1,0,0,0,0,0,1,0
곡성,2016-05-12,55863520382,6879908,1485,130322,한국,이십세기폭스코리아(주),2.03868472,15세 이상 관람가,스릴러/공포/미스터리,156분,5,1,0,0,0,1,0,0,0,0,1,0
덕혜옹주,2016-08-03,44393828109,5599229,964,97312,한국,롯데쇼핑㈜롯데엔터테인먼트,6.537735849,12세 이상 관람가,다큐멘터리/공연실황/기타,127분,7,0,0,0,0,0,0,0,0,0,1,0
마스터,2016-12-21,39784641065,4935320,1501,70786,한국,(주)씨제이이엔엠,4.165742794,15세 이상 관람가,액션/어드벤처/SF,143분,1,1,0,0,0,0,0,1,0,0,1,0
주토피아,2016-02-17,37096057742,4706158,735,131005,미국,월트디즈니컴퍼니코리아(주),9.680327869,전체 관람가,애니메이션,108분,3,0,1,0,0,0,1,0,1,0,0,0
