account,post_num,post_date,text,num_likes,real_tags,year,month,year_month
megaboxon,1753,2014-07-01,"megaboxon
당신의 꿈을 개봉합니다. #메가박스
525주",56,['#메가박스'],2014,7,2014-07
megaboxon,1751,2014-07-01,"megaboxon
이 야밤에 간절히 생각나는 너

#메가박스 #S포테이토 #MEGABOX #SPotato #frenchfries #식욕폭발
524주",58,"['#메가박스', '#S포테이토', '#MEGABOX', '#SPotato', '#frenchfries', '#식욕폭발']",2014,7,2014-07
megaboxon,1752,2014-07-01,"megaboxon
오늘같이 선선한 저녁엔 붕붕이를 끌고 자동차극장에 가서 영화 한 편 보는건 어때요? 🚙🚗🚕🚛 #메가박스 #드라이브M #용인 #자동차극장 #MEGABOX #DriveM #DriveInTheater
525주",32,"['#메가박스', '#드라이브M', '#용인', '#자동차극장', '#MEGABOX', '#DriveM', '#DriveInTheater']",2014,7,2014-07
megaboxon,1748,2014-07-02,"megaboxon
장마가 시작되었나봐요. 비가 올 땐 영화관 데이트가 딱인데👫💑👪 #데이트할여친이없네 #집엔어떻게가지 #저녁은뭐먹지 #메가박스 #megabox #cinema #theater
524주",50,"['#데이트할여친이없네', '#집엔어떻게가지', '#저녁은뭐먹지', '#메가박스', '#megabox', '#cinema', '#theater']",2014,7,2014-07
megaboxon,1749,2014-07-02,"megaboxon
#메가박스 #MEGABOX #cinema #design #color #pattern #wooden #chair #sidetable
524주",34,"['#메가박스', '#MEGABOX', '#cinema', '#design', '#color', '#pattern', '#wooden', '#chair', '#sidetable']",2014,7,2014-07
megaboxon,1747,2014-07-03,"megaboxon
colorful seat map🎨

#메가박스 #알록달록 #좌석배치도 #megabox #cinema #theater #seatmap
524주",42,"['#메가박스', '#알록달록', '#좌석배치도', '#megabox', '#cinema', '#theater', '#seatmap']",2014,7,2014-07
megaboxon,1746,2014-07-07,"megaboxon
자동차극장이라고 꼭 부릉이가 있어야 하는건 아니에요. 전 오늘 퀵보드를 타고 갑니다. 요즘 배우기 시작했거든요 후후훗🏂🚴🏇 #메가박스 #드라이브m #자동차극장 #megabox #drivem #entrance #box #driveintheater #drivethru
524주",41,"['#메가박스', '#드라이브m', '#자동차극장', '#megabox', '#drivem', '#entrance', '#box', '#driveintheater', '#drivethru']",2014,7,2014-07
megaboxon,1745,2014-07-08,"megaboxon
요기는 어디게~요?

#메가박스 #진짜박스를박아버렸네 #megabox #container #stripe #woodenfloor
523주",30,"['#메가박스', '#진짜박스를박아버렸네', '#megabox', '#container', '#stripe', '#woodenfloor']",2014,7,2014-07
megaboxon,1744,2014-07-09,"megaboxon
어린이들의 꿈과 상상력을 키워주는 메가키즈박스가 벌써 개관 1주년을 맞았습니다! 저도 어릴 때 메가키즈박스와 함께였다면 더욱 EQ가 풍부한 남자가 됐을텐데요..👶👦👨👴 #메가박스 #메가키즈박스 #온돌방 #메가박스영통 #megabox #megakidsbox #kidslibrary #kidscinema #kidscafe #cinema #library #cafe
523주",35,"['#메가박스', '#메가키즈박스', '#온돌방', '#메가박스영통', '#megabox', '#megakidsbox', '#kidslibrary', '#kidscinema', '#kidscafe', '#cinema', '#library', '#cafe']",2014,7,2014-07
megaboxon,1742,2014-07-15,"megaboxon
부티크M에서만 맛볼 수 있는 피자리움 피짜(네, 경리단길에 있는 그 피자리움 맞아용)와 런던프롸이드 맥주. 고객님들께 팔려면 우리가 이 메뉴에 대해 잘 알아야한다고 자기합리화를 하며 와구와구 먹는중. 퇴근을 하지 못하는 이유.. (feat. 살찌는소리)

#pizzarium #pizza #피자 #londonpride #boutiquebeer #런던프라이드 #메가박스 #부티크M #megabox #boutiquem #boutiquecinema #cinema #nacho #popcorn #팝콘은메가박스 #갈릭팝콘이진리
522주",48,"['#pizzarium', '#pizza', '#피자', '#londonpride', '#boutiquebeer', '#런던프라이드', '#메가박스', '#부티크M', '#megabox', '#boutiquem', '#boutiquecinema', '#cinema', '#nacho', '#popcorn', '#팝콘은메가박스', '#갈릭팝콘이진리']",2014,7,2014-07
