sampid,fromWhen,gender,yob,b153,b153z,b154,b156,b156z,b157,b158,b159,b160,b308,b162,b163,b166,b169,b184,b220,b221,b222,b223,b224,b225,b228,b241,b242,b243,b244,b245,b276,b277
1,2014.0,1.0,1990.0,412.0,6.0,1.0,9015.0,9.0,805.0,4.0,6.0,6.0,1.0,2.0,,1.0,1.0,,42.0,0.0,6.0,0.0,2.0,200.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,
2,2017.0,1.0,1989.0,713.0,13.0,1.0,1333.0,1.0,101.0,1.0,6.0,6.0,1.0,2.0,,1.0,1.0,,45.0,0.0,5.0,0.0,2.0,9090908.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,
3,2011.0,1.0,1980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2013.0,1.0,1989.0,262.0,3.0,1.0,8360.0,8.0,814.0,4.0,6.0,6.0,,2.0,,2.0,1.0,,50.0,10.0,5.0,1.0,2.0,180.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,
10,2014.0,1.0,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2014.0,2.0,1988.0,855.0,16.0,1.0,2141.0,2.0,113.0,4.0,3.0,3.0,,2.0,,2.0,1.0,,40.0,0.0,5.0,0.0,2.0,150.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,
13,2013.0,2.0,1992.0,872.0,17.0,1.0,2321.0,2.0,902.0,4.0,2.0,2.0,,2.0,,1.0,1.0,,40.0,0.0,5.0,0.0,2.0,150.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,
14,2016.0,1.0,1988.0,551.0,9.0,1.0,263.0,0.0,410.0,4.0,4.0,4.0,,2.0,,1.0,1.0,,45.0,0.0,5.0,0.0,2.0,180.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,
15,2011.0,1.0,1983.0,741.0,14.0,1.0,8340.0,8.0,1110.0,1.0,3.0,3.0,,1.0,4.0,1.0,1.0,,40.0,0.0,5.0,0.0,1.0,2160.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,
19,2010.0,1.0,1991.0,477.0,7.0,3.0,6157.0,6.0,903.0,1.0,1.0,9.0,,1.0,1.0,2.0,2.0,,60.0,24.0,5.0,2.0,2.0,100.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,
21,2015.0,1.0,1990.0,311.0,3.0,3.0,283.0,0.0,1501.0,1.0,9.0,9.0,,2.0,,1.0,1.0,,40.0,0.0,5.0,0.0,2.0,350.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,
22,2013.0,2.0,1992.0,264.0,3.0,3.0,284.0,0.0,828.0,1.0,6.0,9.0,,2.0,,1.0,1.0,,40.0,5.0,5.0,1.0,1.0,2800.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0
23,2015.0,1.0,1988.0,474.0,7.0,3.0,6151.0,6.0,124.0,1.0,4.0,9.0,,2.0,,1.0,1.0,,50.0,0.0,5.0,0.0,2.0,180.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,
24,2017.0,1.0,1992.0,261.0,3.0,3.0,8111.0,8.0,1113.0,4.0,9.0,9.0,,2.0,,1.0,1.0,,40.0,0.0,5.0,0.0,2.0,400.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,
25,2011.0,2.0,1989.0,861.0,17.0,1.0,3040.0,3.0,705.0,1.0,6.0,6.0,,2.0,,1.0,1.0,,40.0,8.0,5.0,1.0,2.0,200.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0
26,2015.0,2.0,1992.0,861.0,17.0,1.0,3040.0,3.0,102.0,4.0,7.0,7.0,,2.0,,1.0,1.0,,45.0,0.0,6.0,0.0,2.0,270.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,
27,2016.0,1.0,1992.0,713.0,13.0,1.0,241.0,0.0,901.0,1.0,4.0,4.0,,2.0,,1.0,1.0,,40.0,0.0,5.0,0.0,2.0,200.0,4.0,4.0,2.0,4.0,5.0,5.0,2.0,
32,2016.0,2.0,1992.0,602.0,10.0,2.0,4111.0,4.0,113.0,4.0,9.0,9.0,,2.0,,2.0,1.0,,32.0,0.0,4.0,0.0,2.0,180.0,4.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0
33,2011.0,1.0,1987.0,851.0,16.0,1.0,2122.0,2.0,906.0,5.0,4.0,4.0,,2.0,,1.0,1.0,,44.0,0.0,6.0,0.0,1.0,3000.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,
39,2011.0,1.0,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
