시도,행정구,삶의 만족도,1인당 GRDP,신혼부부수_스케일링,신혼부부수,평균 자살율,평균 소득,미술관,도서관,박물관,인당_기관수_스케일링,청년인구당_기관수_스케일링,인당_학원수_스케일링,인당_초/중/고_개수,학생당_학교수,공원수,평균공원면적,공원시설통합num평균,평균년도,응급실병상수 총합,병원,보건소,보건의료원,보건지소,보건진료소,상급종합,약국,요양병원,의원,정신병원,조산원,종합병원,치과병원,치과의원,한방병원,한의원
충북,청주시,0.2927,4056,0.580845811,19299,23.4,37455,9,19,11,0.163068221,0.165821914,0.364224426,0.00037255598,0.00298160407,433,35281.69446,0,1999.759815,96.36190294,11.24649591,2.056945253,0,6.122075826,12.12256824,0.522812943,173.465664,5.573718059,234.3348502,1.541013274,0.51593198,2.803071923,1.268939613,124.0009508,3.685235424,103.5530721
경기,남양주시,0.3529,1762,0.518538303,15517,21.4,37261,4,13,7,0.0569478918,0.0596074903,0.393217687,0.000320493587,0.00237275472,170,28061.22353,0,,,,,,,,,,,,,,,,,,
세종,세종특별자치시,0.9077,,0.820885124,10959,,,,,,0.14320298,0.166405024,0.594266328,,,165,20498.33,4.39,2006,10.167079,0.260694333,0.260694333,0,2.606943333,1.824860333,0,39.10414999,1.042777333,53.70303266,0.260694333,0,0.521388667,0.260694333,25.28735033,0.782083,21.63762966
서울,종로구,0.4437,22977,0.239483982,2043,15.7,42022,18,7,38,1,0.946851273,0.326377036,0.000423884071,0.0052175451,43,42121.7,1.697674419,2002.232558,62.9513577,1.414637252,0.707318626,0,0,0,1.414637252,120.951485,0.707318626,141.4637252,0,0,1.414637252,0.707318626,98.31728899,1.414637252,79.92700472
서울,중구,0.4976,44764,0.522552636,2582,20.2,38282,3,9,17,0.343747273,0.395522388,0.190604901,0.00037867874,0.0060130719,38,7143.405263,0.394736842,2009.052632,27.40021754,2.490928867,0.830309622,0,0,0,0,131.1889203,0,209.2380249,0,0,0.830309622,4.151548112,164.4013052,0.830309622,78.04910451
서울,용산구,0.6161,5848,0.645166334,4967,14.9,63288,4,4,8,0.135094948,0.151688609,0.17135757,0.000228087799,0.00288237459,48,10481.2,1.6875,1988.125,12.34850217,0.457351932,0.457351932,0,0,0,0,51.22341642,0,65.85867825,0,0.457351932,0.457351932,0,45.2778413,0,26.98376401
서울,성동구,0.4729,4403,0.65399827,6724,20.5,42124,2,7,3,0.150965846,0.152094892,0.299039763,0.000249460406,0.0030428647,50,14858.5974,2.42,1992.8,13.52313167,1.423487544,0.355871886,0,0,0,0.355871886,51.60142349,1.067615658,82.91814947,0,0,0.355871886,0.355871886,42.70462633,0,33.09608541
서울,광진구,0.4041,1862,0.39238832,6092,13.8,37235,,,,0.166614097,0.153901996,0.32238388,0.000218458877,0.0026234457,43,1128.609302,1.488372093,1982.930233,12.15117244,1.185480238,0.29637006,0,0,0,0.29637006,50.38291012,0.592740119,80.90902625,0.29637006,0,0.29637006,0.592740119,43.56639875,0.592740119,34.67529696
서울,동대문구,0.5842,2110,0.406255939,6333,19.7,34711,,,,0.244659802,0.203617737,0.287484882,0.000216789465,0.00264720612,48,15786.3,0.125,1996.770833,18.71413125,3.861646131,0.297049702,0,0,0,0.297049702,65.94503392,1.782298214,76.34177351,0.594099405,0.297049702,0.891149107,1.188198809,46.63680327,0.594099405,41.88400803
서울,중랑구,0.1058,1253,0.588497965,8685,16.8,34368,,,,0.0730409366,0.0885547201,0.206314417,0.000209904336,0.002717299,58,26550.11379,0,,12.45724311,3.114310777,0.259525898,0,0,0,0,44.11940268,0.519051796,64.36242273,0.259525898,0,0.778577694,0,40.745566,0.259525898,28.54784879
서울,성북구,0.6382,1420,0.41710088,7977,14.7,38567,4,13,9,0.229688067,0.187373737,0.328909299,0.000252243077,0.00255699469,51,21788.1549,3.509803922,1993.705882,9.990775958,1.394061762,0.232343627,0,0.464687254,0,0.232343627,43.44825824,1.858749015,57.62121948,0,0,0,0.232343627,34.61920041,0.464687254,26.25482984
