행정자치구역,매우 만족,약간 만족,보통,약간 불만족,매우 불만족
서울특별시,11.4,30.5,43.3,11.8,3.1
부산광역시,10.2,30.3,44.2,12.3,3
대구광역시,11.2,26.4,45.2,14.2,3.1
인천광역시,12.6,27.2,46.2,10.4,3.5
광주광역시,11.4,31.6,44.2,10.2,2.5
대전광역시,14.6,34.4,39.2,9.5,2.3
울산광역시,11,30.4,41.4,14,3.2
세종특별자치시,15.9,37.4,35.1,9.3,2.2
경기도,11.8,29.5,43.1,12.3,3.3
강원도,14.1,33,40.3,10.7,1.8
충청북도,13.5,31.8,39.9,11.6,3.2
충청남도,15.1,30,43.3,9.4,2.3
전라북도,11.8,35.3,37.5,11.4,3.9
전라남도,13.5,28.5,46.7,9.1,2.2
경상북도,10.2,27.9,47.1,12,2.7
경상남도,10.7,33.7,43.6,9.7,2.4
제주특별자치도,13.1,31.6,42.9,9,3.3
