시도,행정구,1인당 GRDP
강원,강릉시,2832
강원,고성군,4758
강원,동해시,3651
강원,삼척시,4054
강원,속초시,2285
강원,양구군,4881
강원,양양군,4009
강원,영월군,3649
강원,원주시,2506
강원,인제군,5557
강원,정선군,3801
강원,철원군,4874
강원,춘천시,2775
강원,태백시,2622
강원,평창군,3633
강원,홍천군,3722
강원,화천군,6494
강원,횡성군,3909
경기,가평군,3073
경기,고양시,2084
경기,과천시,5910
경기,광명시,2803
경기,광주시,2566
경기,구리시,1875
경기,군포시,2709
경기,김포시,2925
경기,남양주시,1762
경기,동두천시,1890
경기,부천시,2207
경기,성남시,5171
경기,수원시,2716
경기,시흥시,3006
경기,안산시,3437
경기,안성시,4678
경기,안양시,3296
경기,양주시,2818
경기,양평군,1795
경기,여주시,3760
경기,연천군,4281
경기,오산시,2303
경기,용인시,3131
경기,의왕시,2525
경기,의정부시,1610
경기,이천시,10907
경기,파주시,4277
경기,평택시,5351
경기,포천시,4408
경기,하남시,2380
경기,화성시,8790
경남,거제시,3627
경남,거창군,2809
경남,고성군,4747
경남,김해시,2851
경남,남해군,2801
경남,밀양시,3124
경남,사천시,3983
경남,산청군,3340
경남,양산시,3060
경남,의령군,3899
경남,진주시,2420
경남,창녕군,4208
경남,창원시,3806
경남,통영시,2564
경남,하동군,5473
경남,함안군,6409
경남,함양군,2924
경남,합천군,2873
경북,경산시,2706
경북,경주시,3821
경북,고령군,4197
경북,구미시,6839
경북,김천시,4106
경북,문경시,2659
경북,봉화군,4041
경북,상주시,2674
경북,성주군,5070
경북,안동시,3858
경북,영덕군,2772
경북,영양군,2864
경북,영주시,2993
경북,영천시,3834
경북,예천군,2113
경북,울릉군,3355
경북,울진군,5372
경북,의성군,2947
경북,청도군,2537
경북,청송군,3467
경북,칠곡군,4038
경북,포항시,3750
광주,광산구,3320
광주,남구,1509
광주,동구,3255
광주,북구,2472
광주,서구,3649
대구,남구,2172
대구,달서구,2148
대구,달성군,2710
대구,동구,2278
대구,북구,2383
대구,서구,2397
대구,수성구,2085
대구,중구,6979
대구,군위군,3886
대전,대덕구,4415
대전,동구,1596
대전,서구,2681
대전,유성구,4155
대전,중구,2199
부산,강서구,9341
부산,금정구,1920
부산,기장군,3650
부산,남구,2385
부산,동구,4770
부산,동래구,1493
부산,부산진구,2466
부산,북구,1100
부산,사상구,3004
부산,사하구,2324
부산,서구,3257
부산,수영구,1630
부산,연제구,3166
부산,영도구,2514
부산,중구,8632
부산,해운대구,2420
서울,강남구,14848
서울,강동구,2077
서울,강북구,1166
서울,강서구,3024
서울,관악구,1236
서울,광진구,1862
서울,구로구,3284
서울,금천구,6967
서울,노원구,1297
서울,도봉구,1151
서울,동대문구,2110
서울,동작구,1720
서울,마포구,5574
서울,서대문구,2705
서울,서초구,9460
서울,성동구,4403
서울,성북구,1420
서울,송파구,4772
서울,양천구,1642
서울,영등포구,9814
서울,용산구,5848
서울,은평구,1117
서울,종로구,22977
서울,중구,44764
서울,중랑구,1253
울산,남구,8375
울산,동구,4917
울산,북구,6079
울산,울주군,8013
울산,중구,2252
인천,강화군,2452
인천,계양구,1676
인천,남동구,3218
인천,동구,6297
인천,미추홀구,1854
인천,부평구,2144
인천,서구,3401
인천,연수구,2958
인천,옹진군,4538
인천,중구,8079
전남,강진군,3031
전남,고흥군,2737
전남,곡성군,4049
전남,광양시,6839
전남,구례군,2573
전남,나주시,4336
전남,담양군,3559
전남,목포시,2024
전남,무안군,3705
전남,보성군,2783
전남,순천시,2319
전남,신안군,3861
전남,여수시,9597
전남,영광군,4436
전남,영암군,5990
전남,완도군,2694
전남,장성군,4910
전남,장흥군,3074
전남,진도군,3047
전남,함평군,3762
전남,해남군,3724
전남,화순군,2982
전북,고창군,3117
전북,군산시,3512
전북,김제시,3946
전북,남원시,2368
전북,무주군,3344
전북,부안군,3262
전북,순창군,3201
전북,완주군,5046
전북,익산시,2968
전북,임실군,3167
전북,장수군,2762
전북,전주시,2351
전북,정읍시,3134
전북,진안군,2959
제주,제주시,2891
제주,서귀포시,2926
충남,계룡시,4054
충남,공주시,3549
충남,금산군,4504
충남,논산시,3799
충남,당진시,6854
충남,보령시,4342
충남,부여군,3221
충남,서산시,8904
충남,서천군,4630
충남,아산시,8239
충남,예산군,4596
충남,천안시,3796
충남,청양군,4195
충남,태안군,4743
충남,홍성군,3500
충북,괴산군,3962
충북,단양군,4404
충북,보은군,3810
충북,영동군,2578
충북,옥천군,2983
충북,음성군,8077
충북,제천시,2442
충북,증평군,3143
충북,진천군,8518
충북,청주시,4056
충북,충주시,3605
