지표연도,시도,시군구,지표명,분모(명),분자(명),지표값(퍼센트)
2009,전국,전체,치매의료이용률,49713522,231411,0.47
2009,서울특별시,전체,치매의료이용률,10299410,36960,0.36
2009,서울특별시,종로구,치매의료이용률,175420,747,0.43
2009,서울특별시,중구,치매의료이용률,136919,647,0.47
2009,서울특별시,용산구,치매의료이용률,241840,1027,0.42
2009,서울특별시,성동구,치매의료이용률,317801,1219,0.38
2009,서울특별시,광진구,치매의료이용률,379165,1192,0.31
2009,서울특별시,동대문구,치매의료이용률,374084,1465,0.39
2009,서울특별시,중랑구,치매의료이용률,430730,1494,0.35
2009,서울특별시,성북구,치매의료이용률,476369,1888,0.4
2009,서울특별시,강북구,치매의료이용률,344396,1325,0.38
2009,서울특별시,도봉구,치매의료이용률,375271,1475,0.39
2009,서울특별시,노원구,치매의료이용률,615494,2630,0.43
2009,서울특별시,은평구,치매의료이용률,459897,1929,0.42
2009,서울특별시,서대문구,치매의료이용률,335434,1189,0.35
2009,서울특별시,마포구,치매의료이용률,391158,1400,0.36
2009,서울특별시,양천구,치매의료이용률,503966,1634,0.32
2009,서울특별시,강서구,치매의료이용률,580150,1995,0.34
2009,서울특별시,구로구,치매의료이용률,428128,1305,0.3
2009,서울특별시,금천구,치매의료이용률,250971,822,0.33
2009,서울특별시,영등포구,치매의료이용률,414517,1629,0.39
2009,서울특별시,동작구,치매의료이용률,402049,1499,0.37
2009,서울특별시,관악구,치매의료이용률,538599,1580,0.29
2009,서울특별시,서초구,치매의료이용률,414172,1475,0.36
2009,서울특별시,강남구,치매의료이용률,570993,1944,0.34
2009,서울특별시,송파구,치매의료이용률,669888,1997,0.3
2009,서울특별시,강동구,치매의료이용률,471999,1453,0.31
2009,부산광역시,전체,치매의료이용률,3568152,17635,0.49
2009,부산광역시,중구,치매의료이용률,50518,383,0.76
2009,부산광역시,서구,치매의료이용률,129015,970,0.75
2009,부산광역시,동구,치매의료이용률,102555,753,0.73
2009,부산광역시,영도구,치매의료이용률,152205,968,0.64
2009,부산광역시,부산진구,치매의료이용률,401120,1948,0.49
2009,부산광역시,동래구,치매의료이용률,282396,1256,0.44
2009,부산광역시,남구,치매의료이용률,294922,1329,0.45
2009,부산광역시,북구,치매의료이용률,318738,1352,0.42
2009,부산광역시,해운대구,치매의료이용률,423771,1862,0.44
2009,부산광역시,사하구,치매의료이용률,367285,1589,0.43
2009,부산광역시,금정구,치매의료이용률,256750,1356,0.53
2009,부산광역시,강서구,치매의료이용률,54325,415,0.76
2009,부산광역시,연제구,치매의료이용률,212971,1052,0.49
2009,부산광역시,수영구,치매의료이용률,176936,950,0.54
2009,부산광역시,사상구,치매의료이용률,262769,1006,0.38
2009,부산광역시,기장군,치매의료이용률,81876,446,0.54
2009,대구광역시,전체,치매의료이용률,2489347,11486,0.46
2009,대구광역시,중구,치매의료이용률,79172,560,0.71
2009,대구광역시,동구,치매의료이용률,323646,1890,0.58
2009,대구광역시,서구,치매의료이용률,229689,1063,0.46
2009,대구광역시,남구,치매의료이용률,175535,1017,0.58
2009,대구광역시,북구,치매의료이용률,462135,1774,0.38
2009,대구광역시,수성구,치매의료이용률,447502,2161,0.48
2009,대구광역시,달서구,치매의료이용률,599150,2133,0.36
2009,대구광역시,달성군,치매의료이용률,172518,888,0.51
2009,인천광역시,전체,치매의료이용률,2718631,8007,0.29
2009,인천광역시,중구,치매의료이용률,90728,362,0.4
2009,인천광역시,동구,치매의료이용률,75685,280,0.37
2009,인천광역시,남구,치매의료이용률,425319,1305,0.31
2009,인천광역시,연수구,치매의료이용률,270619,810,0.3
2009,인천광역시,남동구,치매의료이용률,457721,1231,0.27
2009,인천광역시,부평구,치매의료이용률,570915,1624,0.28
2009,인천광역시,계양구,치매의료이용률,344072,851,0.25
2009,인천광역시,서구,치매의료이용률,401077,901,0.22
2009,인천광역시,강화군,치매의료이용률,66976,544,0.81
2009,인천광역시,옹진군,치매의료이용률,15519,99,0.64
2009,광주광역시,전체,치매의료이용률,1425900,6512,0.46
2009,광주광역시,동구,치매의료이용률,109889,770,0.7
2009,광주광역시,서구,치매의료이용률,305025,1265,0.41
2009,광주광역시,남구,치매의료이용률,213135,1192,0.56
2009,광주광역시,북구,치매의료이용률,475317,2162,0.45
2009,광주광역시,광산구,치매의료이용률,322534,1123,0.35
2009,대전광역시,전체,치매의료이용률,1473523,5715,0.39
2009,대전광역시,동구,치매의료이용률,247023,1154,0.47
2009,대전광역시,중구,치매의료이용률,264875,1155,0.44
2009,대전광역시,서구,치매의료이용률,496937,1794,0.36
2009,대전광역시,유성구,치매의료이용률,252124,906,0.36
2009,대전광역시,대덕구,치매의료이용률,212564,706,0.33
2009,울산광역시,전체,치매의료이용률,1127080,3454,0.31
2009,울산광역시,중구,치매의료이용률,235561,831,0.35
2009,울산광역시,남구,치매의료이용률,347297,880,0.25
2009,울산광역시,동구,치매의료이용률,178827,410,0.23
2009,울산광역시,북구,치매의료이용률,169064,440,0.26
2009,울산광역시,울주군,치매의료이용률,196331,893,0.45
2009,경기도,전체,치매의료이용률,11378118,38470,0.34
2009,경기도,수원시 장안구,치매의료이용률,287628,991,0.34
2009,경기도,수원시 권선구,치매의료이용률,307898,777,0.25
2009,경기도,수원시 팔달구,치매의료이용률,216000,721,0.33
2009,경기도,수원시 영통구,치매의료이용률,263351,540,0.21
2009,경기도,성남시 수정구,치매의료이용률,248265,844,0.34
2009,경기도,성남시 중원구,치매의료이용률,267425,932,0.35
2009,경기도,성남시 분당구,치매의료이용률,429004,1814,0.42
2009,경기도,의정부시,치매의료이용률,430432,1560,0.36
2009,경기도,안양시 만안구,치매의료이용률,263423,860,0.33
2009,경기도,안양시 동안구,치매의료이용률,358828,1026,0.29
2009,경기도,부천시 원미구,치매의료이용률,446402,1215,0.27
2009,경기도,부천시 소사구,치매의료이용률,231475,739,0.32
2009,경기도,부천시 오정구,치매의료이용률,198153,573,0.29
2009,경기도,광명시,치매의료이용률,313041,1012,0.32
2009,경기도,평택시,치매의료이용률,406146,1341,0.33
2009,경기도,동두천시,치매의료이용률,89889,483,0.54
2009,경기도,안산시 상록구,치매의료이용률,381770,1071,0.28
2009,경기도,안산시 단원구,치매의료이용률,346073,895,0.26
2009,경기도,고양시 덕양구,치매의료이용률,384071,1699,0.44
2009,경기도,고양시 일산동구,치매의료이용률,263083,1020,0.39
2009,경기도,고양시 일산서구,치매의료이용률,291765,1166,0.4
2009,경기도,과천시,치매의료이용률,69029,281,0.41
2009,경기도,구리시,치매의료이용률,196812,527,0.27
2009,경기도,남양주시,치매의료이용률,507127,1659,0.33
2009,경기도,오산시,치매의료이용률,152849,364,0.24
2009,경기도,시흥시,치매의료이용률,405097,1013,0.25
2009,경기도,군포시,치매의료이용률,281279,764,0.27
2009,경기도,의왕시,치매의료이용률,135508,385,0.28
2009,경기도,하남시,치매의료이용률,144621,461,0.32
2009,경기도,용인시 처인구,치매의료이용률,205215,755,0.37
2009,경기도,용인시 기흥구,치매의료이용률,316751,990,0.31
2009,경기도,용인시 수지구,치매의료이용률,298358,964,0.32
2009,경기도,파주시,치매의료이용률,309917,1294,0.42
2009,경기도,이천시,치매의료이용률,197011,783,0.4
2009,경기도,안성시,치매의료이용률,173957,797,0.46
2009,경기도,김포시,치매의료이용률,225291,783,0.35
2009,경기도,화성시,치매의료이용률,468423,1321,0.28
2009,경기도,광주시,치매의료이용률,240180,741,0.31
2009,경기도,양주시,치매의료이용률,177132,693,0.39
2009,경기도,포천시,치매의료이용률,157691,702,0.45
2009,경기도,여주군,치매의료이용률,107793,564,0.52
2009,경기도,연천군,치매의료이용률,41027,327,0.8
2009,경기도,가평군,치매의료이용률,54993,381,0.69
2009,경기도,양평군,치매의료이용률,87935,642,0.73
