연도,시도,시군구,성별,연령별,노인인구수,치매환자수,치매환자유병률,최경도 환자,경도 환자,중등도 환자,중증 환자,알츠하이머 환자수,알츠하이머 환자유병률,혈관성치매 환자수,혈관성치매 환자유병률,기타 환자환자수,기타 환자유병률,경도인지장애 환자수,경도인지장애 환자유병률
2020,전국,전국,전체,60~64세,3804709.5,23350.26,0.61,4062.95,9667.01,6001.02,3619.29,0,0,23350.26,0.61,0,0,568975.71,14.95
2020,전국,전국,전체,65~69세,2635592,36620.52,1.39,6371.97,15160.9,9411.47,5676.18,34204.14,1.3,0,0,2416.38,0.09,472079.05,17.91
2020,전국,전국,전체,70~74세,2000708.5,77236.58,3.86,13439.16,31975.94,19849.8,11971.67,74101.52,3.7,1868.56,0.09,1279.71,0.06,432263.1,21.61
2020,전국,전국,전체,75~79세,1602662.5,189626.57,11.83,32995.02,78505.4,48734.03,29392.12,79081.82,4.93,36835.05,2.3,73617.65,4.59,238681.35,14.89
2020,전국,전국,전체,80~84세,1110911.5,232892.5,20.96,40523.3,96417.5,59853.37,36098.34,182257.11,16.41,8518.04,0.77,42047.6,3.78,530714.37,47.77
2020,전국,전국,전체,85세이상,784800,303815.65,38.71,52863.92,125779.68,78080.62,47091.43,264750.04,33.73,25376.03,3.23,13632.54,1.74,175257.32,22.33
2020,전국,전국,전체,60세이상,11939384,863542.09,7.23,150256.32,357506.43,221930.32,133849.02,634394.63,5.31,95947.94,0.8,132993.88,1.11,2417970.9,20.25
2020,전국,전국,전체,65세이상,8134674.5,840191.82,10.33,146193.38,347839.41,215929.3,130229.73,634394.63,7.8,72597.68,0.89,132993.88,1.63,1848995.19,22.73
2020,전국,전국,남,60~64세,1878929.5,21231.9,1.13,3694.35,8790.01,5456.6,3290.94,0,0,21231.9,1.13,0,0,484476.33,25.78
2020,전국,전국,남,65~69세,1271779.5,23527.92,1.85,4093.86,9740.56,6046.68,3646.83,21111.54,1.66,0,0,2416.38,0.19,120302.71,9.46
2020,전국,전국,남,70~74세,934279.5,43537.42,4.66,7575.51,18024.49,11189.12,6748.3,41575.44,4.45,1868.56,0.2,0,0,234788.18,25.13
2020,전국,전국,남,75~79세,682114.5,62959.17,9.23,10954.9,26065.1,16180.51,9758.67,20258.8,2.97,29194.5,4.28,13505.87,1.98,46674.37,6.84
2020,전국,전국,남,80~84세,413379.5,70646.56,17.09,12292.5,29247.68,18156.17,10950.22,35426.62,8.57,6076.68,1.47,29143.25,7.05,209443.68,50.67
